"year","mean_coverage","max_coverage","min_coverage","new_net_per_cap","irs_per_cap","scenario"
2012,0.301373175803996,0.362779947042032,0.244057589284983,0.0811488235645635,0,"to-present"
2013,0.247122683238565,0.286016126748269,0.205018813098859,0.0878722341568143,0,"to-present"
2014,0.432030128568059,0.486100160627275,0.35785091173791,0.796630565260113,0,"to-present"
2015,0.571090529177047,0.648095188592741,0.475004473146279,0.107037665651114,0,"to-present"
2016,0.422210577174313,0.4757141036465,0.364178378193221,0.112715677935711,0,"to-present"
2017,0.446432010746626,0.493978954141766,0.389969371006605,0.821725810810354,0,"to-present"
2018,0.625383044364478,0.700440176210288,0.536882642096834,0.116464413412349,0,"to-present"
2019,0.471826413377578,0.522581731096107,0.411236293555666,0.876424172786404,0,"to-present"
2020,0.703927460823511,0.774327030377085,0.629445591954376,0.119292715843043,0,"to-present"
2021,0.523299577546752,0.573249720852412,0.469848883456575,0.120765088382626,0,"BAU"
2022,0.474118793568829,0.511615620918081,0.430976004819115,0.873804218001834,0,"BAU"
2023,0.67347235371165,0.74279700917602,0.581808467788453,0.121909313752265,0,"BAU"
2024,0.494784460104427,0.544294348675497,0.430946155765006,0.116554820221447,0,"BAU"
2025,0.456483366599695,0.500021383291393,0.396001596873826,0.869450958005325,0,"BAU"
2026,0.667038056968644,0.739211750234257,0.58001919355201,0.117803879498487,0,"BAU"
2027,0.490702251923295,0.535679670709375,0.432040850396795,0.119562754475245,0,"BAU"
2028,0.456281251863097,0.499586381766253,0.411530064244116,0.872172636788461,0,"BAU"
2029,0.669730654703699,0.738847970911083,0.585915179883716,0.121572665202712,0,"BAU"
2030,0.490366228954105,0.544922074638292,0.433644120508253,0.11691194197277,0,"BAU"
2021,0.800887479641083,0.817179164898741,0.776495708952984,0.9182330475045,0,"GF"
2022,0.73660820554919,0.761382147545209,0.726335370267428,0.915583103229298,0,"GF"
2023,0.728358456262092,0.739819938465523,0.713735725890191,0.915517804190902,0,"GF"
2024,0.730003920738677,0.745546113216429,0.714493583148717,0.917443475673734,0,"GF"
2025,0.728005203377512,0.74004665798906,0.716402047201178,0.919483198111921,0,"GF"
2026,0.724280755263117,0.738760814102767,0.70280434679428,0.912476168484305,0,"GF"
2027,0.725401353855028,0.74539128611477,0.707965990935705,0.914296426632822,0,"GF"
2028,0.724622850860663,0.74630209074379,0.713147679951584,0.909412819133394,0,"GF"
2029,0.725174865020264,0.738476763657947,0.70463353440895,0.91477194901708,0,"GF"
2030,0.726415753902269,0.738239987234646,0.714677212984348,0.91459506591271,0,"GF"
2021,0.800878778605591,0.81734757372711,0.780352601493867,0.916840719805585,0,"GF with PBO"
2022,0.737575193559833,0.751061906852788,0.724977338985772,0.914821688811207,0,"GF with PBO"
2023,0.728721443723616,0.744918482721226,0.71545636771117,0.919024869069037,0,"GF with PBO"
2024,0.72715845965817,0.740197839106249,0.71609705420805,0.914969932013155,0,"GF with PBO"
2025,0.728031032730127,0.742470354455245,0.707743372802923,0.919289174082608,0,"GF with PBO"
2026,0.72659820363949,0.740273145459345,0.712309162443893,0.914365373183407,0,"GF with PBO"
2027,0.724823256998494,0.736862389425936,0.709177515116532,0.912934301772321,0,"GF with PBO"
2028,0.725024339264843,0.733828315489443,0.711440820230521,0.911951469403356,0,"GF with PBO"
2029,0.727304117070075,0.740085039503114,0.713761076154679,0.9152462817567,0,"GF with PBO"
2030,0.726316256444317,0.741628659718,0.711340976958312,0.911965875341774,0,"GF with PBO"
2021,0.802719750372277,0.818177797654812,0.782343347870889,0.918840590935369,0,"GF at 80%"
2022,0.734261657738302,0.744927763448543,0.717770151978869,0.913722682171036,0,"GF at 80%"
2023,0.73214663442743,0.746448473900132,0.716531492432651,0.925690352324467,0,"GF at 80%"
2024,0.726088759019974,0.743144435608791,0.710829811216152,0.912011920756866,0,"GF at 80%"
2025,0.727682910026442,0.747747468094899,0.713314831301084,0.919946657281137,0,"GF at 80%"
2026,0.727882100142185,0.739483072976851,0.711867752520407,0.918343544518931,0,"GF at 80%"
2027,0.726927628511422,0.738299862153003,0.71035527548104,0.919455800564913,0,"GF at 80%"
2028,0.730121665245312,0.748008209680083,0.717444859090432,0.917714816669069,0,"GF at 80%"
2029,0.727921484936344,0.753169312660296,0.712132305356912,0.917392833955579,0,"GF at 80%"
2030,0.728590299939092,0.742613718104307,0.710596656358548,0.916126882027915,0,"GF at 80%"
2021,0.802025586886028,0.815546175550538,0.777851908877278,0.920900132539293,0,"GF at 80% with PBO"
2022,0.737883897244289,0.75499723117879,0.72517125113516,0.916607069079019,0,"GF at 80% with PBO"
2023,0.729318457904708,0.739138732576124,0.71541301887193,0.920323210745864,0,"GF at 80% with PBO"
2024,0.731433046796443,0.743210698785379,0.722996796640128,0.920292306429875,0,"GF at 80% with PBO"
2025,0.726841726713243,0.740435756994332,0.71145294533053,0.915652786659666,0,"GF at 80% with PBO"
2026,0.727082405291544,0.741856798940931,0.714043615767725,0.915550843830509,0,"GF at 80% with PBO"
2027,0.725342139811237,0.7395707034343,0.708358851882336,0.915113486006495,0,"GF at 80% with PBO"
2028,0.726826820823309,0.739461065420671,0.712193781505442,0.914738575447537,0,"GF at 80% with PBO"
2029,0.72540854744557,0.739670463845717,0.712122899734446,0.914998439512478,0,"GF at 80% with PBO"
2030,0.726343393055729,0.739124268791708,0.714847930899579,0.915591183686726,0,"GF at 80% with PBO"
2020,0.703927460823511,0.774327030377085,0.629445591954376,0.119292715843043,0,"BAU"
2020,0.703927460823511,0.774327030377085,0.629445591954376,0.119292715843043,0,"GF"
2020,0.703927460823511,0.774327030377085,0.629445591954376,0.119292715843043,0,"GF with PBO"
2020,0.703927460823511,0.774327030377085,0.629445591954376,0.119292715843043,0,"GF at 80%"
2020,0.703927460823511,0.774327030377085,0.629445591954376,0.119292715843043,0,"GF at 80% with PBO"
