"year","mean_coverage","max_coverage","min_coverage","new_net_per_cap","irs_per_cap","scenario"
2012,0.141540971337551,0.169402570243454,0.121978087022697,0.0809845552893501,0,"to-present"
2013,0.116833600753784,0.137571867535469,0.0945919490322879,0.0856888728749785,0,"to-present"
2014,0.341997706309161,0.398246080969813,0.282589049896392,0.790624128892498,0,"to-present"
2015,0.376460065165413,0.44527376375029,0.31502955756947,0.101696652681937,0,"to-present"
2016,0.209011524696998,0.237901141005009,0.169542918164167,0.110312003434108,0.34252719072262,"to-present"
2017,0.304520366248621,0.346799575885204,0.266628576304139,0.831627248966939,0.956142871560455,"to-present"
2018,0.45064431772597,0.529895395493532,0.37882489307887,0.114460841936548,0.59021801155927,"to-present"
2019,0.250101555459306,0.297271350662452,0.218863542580608,0.873439414120107,1.26625045199132,"to-present"
2020,0.563613994558556,0.639868243500801,0.477255689231265,0.116772484742645,0.603620930481021,"to-present"
2021,0.281945866750481,0.31846309920166,0.250948233258151,0.113842495952395,0.602270034695055,"BAU"
2022,0.296995906904887,0.326383990305518,0.261114741613593,0.874695492715373,0.600499725541292,"BAU"
2023,0.496438395551637,0.567600503760326,0.424202173176399,0.115317943757076,0.599972630578539,"BAU"
2024,0.254848746052417,0.290867945671863,0.220417015296612,0.114565517489162,0.602642405503971,"BAU"
2025,0.287601381715717,0.319601434325293,0.255702590085369,0.873590907656228,0.601227416208777,"BAU"
2026,0.497929091610479,0.568901519856158,0.432400855048466,0.113048171827331,0.599340157705307,"BAU"
2027,0.255915713009087,0.287498814584884,0.214982253232403,0.116820950728548,0.599368969405837,"BAU"
2028,0.287918542631625,0.318148686932423,0.256667570340926,0.872395051203609,0.602518451317202,"BAU"
2029,0.498218492690076,0.571709767925008,0.427860632805272,0.115428794934645,0.602704225885129,"BAU"
2030,0.254328383350863,0.28297178023885,0.212434774912136,0.11248313497774,0.600362272831289,"BAU"
2021,0.282441010913084,0.317309391070227,0.250657096963206,0.114889303574013,0.602336318925999,"GF"
2022,0.187112379780324,0.205463991930916,0.157311896054788,0.116734076847854,0.600023573003017,"GF"
2023,0.152684302302283,0.174490741600077,0.127608323437114,0.115954794005681,0.601059280822106,"GF"
2024,0.140297413966525,0.164081779075015,0.119160983939609,0.114154427909895,0.599319371483203,"GF"
2025,0.132900524156032,0.152956262703928,0.11180820104838,0.117125673843963,0.600563072025671,"GF"
2026,0.130047221545668,0.150423261751346,0.110749172649254,0.114001229588456,0.600806051288036,"GF"
2027,0.128484891945293,0.151386136632075,0.109228394098006,0.115210019575346,0.601442705108676,"GF"
2028,0.128522800342819,0.144058239472071,0.114131961405075,0.116019180674341,0.598766320896207,"GF"
2029,0.127325274625208,0.143326272886467,0.114633820393707,0.113762477326808,0.601688144242334,"GF"
2030,0.125833352595726,0.142570606973663,0.103356863165758,0.113854764284945,0.595397543768363,"GF"
2021,0.282347415845054,0.318603925480418,0.250382467908018,0.114505839601043,0.602295842253534,"GF with PBO"
2022,0.185743742468443,0.203655911489547,0.15310269413494,0.11454338482741,0.601321947675942,"GF with PBO"
2023,0.152272444749086,0.176380224273038,0.126632999790501,0.116055669918489,0.598751294908614,"GF with PBO"
2024,0.139092780694737,0.158280756730992,0.121161368179882,0.114076858240331,0.599335906881728,"GF with PBO"
2025,0.131956868074311,0.145980624808876,0.11414021168375,0.114079371034636,0.600587536661253,"GF with PBO"
2026,0.128998660733765,0.143370989336518,0.113316992584615,0.113376028163283,0.600959663577986,"GF with PBO"
2027,0.127177744349624,0.147965301072939,0.112997240881599,0.115080857208518,0.600801450257412,"GF with PBO"
2028,0.126696721756502,0.146888011061108,0.110656734924675,0.113342672176816,0.600540940096116,"GF with PBO"
2029,0.127582771787488,0.142685970690023,0.110851636534665,0.115454281710405,0.600081940728591,"GF with PBO"
2030,0.126683825520974,0.142725553606629,0.113625273561704,0.113825732554881,0.598010525440965,"GF with PBO"
2021,0.284984346189428,0.319231218827735,0.252398508057321,0.12261147837623,0.787775245263506,"GF at 80%"
2022,0.193093525797782,0.214505214916251,0.162900833128359,0.123465231969103,0.789956678602809,"GF at 80%"
2023,0.159697623629672,0.17843631236239,0.131656180160037,0.123957107589367,0.792077432738169,"GF at 80%"
2024,0.14556546864446,0.166150433130301,0.129107666073238,0.121106632624052,0.788103447490319,"GF at 80%"
2025,0.138984552015625,0.158980144799762,0.118863270723774,0.124486197646641,0.78907850096021,"GF at 80%"
2026,0.137446156793929,0.152454716188255,0.11660844968182,0.122137896008124,0.78996821025749,"GF at 80%"
2027,0.137448084198403,0.150807752908315,0.118793488718294,0.126919243543181,0.789907595440836,"GF at 80%"
2028,0.136333924045847,0.150189230090323,0.117175518310718,0.122370068270032,0.790550228288581,"GF at 80%"
2029,0.134817250032817,0.151301421510844,0.119095471106484,0.122976231851671,0.789263354031109,"GF at 80%"
2030,0.133859288972037,0.147720163115241,0.113938338545357,0.122558908420004,0.790756953145797,"GF at 80%"
2021,0.285277452594778,0.321007171874476,0.254971773728399,0.122976526020634,0.78768175614211,"GF at 80% with PBO"
2022,0.191969561767393,0.2137482380197,0.164185026822464,0.122149681135633,0.787919156736739,"GF at 80% with PBO"
2023,0.158016030974255,0.177189996437444,0.133954949067779,0.123505725358502,0.792105511297879,"GF at 80% with PBO"
2024,0.145922526902739,0.159207680886707,0.128682741813627,0.121933702136203,0.788777295418625,"GF at 80% with PBO"
2025,0.139422644010114,0.157001169367547,0.122316962335375,0.123235179419208,0.789690247805287,"GF at 80% with PBO"
2026,0.137353131762274,0.154124824160284,0.12328379641148,0.121455322206708,0.790062035031022,"GF at 80% with PBO"
2027,0.136002062416847,0.148583363203641,0.123806248424892,0.125310234186383,0.786887730597448,"GF at 80% with PBO"
2028,0.136442131191044,0.150460102785036,0.119478857333136,0.121509305864485,0.789361752962558,"GF at 80% with PBO"
2029,0.133789622983152,0.148480841433883,0.112592229857959,0.122464545693581,0.788343869941058,"GF at 80% with PBO"
2030,0.134059702546473,0.143429915928134,0.116057285785353,0.122504606562357,0.788289194958754,"GF at 80% with PBO"
2020,0.563613994558556,0.639868243500801,0.477255689231265,0.116772484742645,0.603620930481021,"BAU"
2020,0.563613994558556,0.639868243500801,0.477255689231265,0.116772484742645,0.603620930481021,"GF"
2020,0.563613994558556,0.639868243500801,0.477255689231265,0.116772484742645,0.603620930481021,"GF with PBO"
2020,0.563613994558556,0.639868243500801,0.477255689231265,0.116772484742645,0.603620930481021,"GF at 80%"
2020,0.563613994558556,0.639868243500801,0.477255689231265,0.116772484742645,0.603620930481021,"GF at 80% with PBO"
